dup_group,group_size,row_index,Catalog,FIRST_ID,RA,Dec,z,Flux_FIRST_1400MHz,Host_name
1,2,51,Lao,J001522.6+000922,3.84514,0.15604,0.44015,82.3,WISEA J001522.83+000921.7
1,2,2,Mirabest,J001522.8+000922,3.84517,0.15609,0.4401,15.2,
2,2,5,Lao,J000115.3-082639,0.31298,-8.44618,0.32871,154.89,SDSS J000115.11-082646.2
2,2,4,Sasmal,J000115.1-082646,0.3129583333,-8.446166667,0.33,156.0,
3,2,634,Lao,J005701.8-005236,14.25861,-0.87518,0.04416,101.81,UGC 00588
3,2,15,Mirabest,J005702.1-005231,14.25857,-0.87518,0.0442,32.3,
4,2,820,Lao,J010455.6+000434,16.23559,0.07312,0.27966,82.45,WISEA J010456.54+000423.2
4,2,17,Mirabest,J010456.6+000423,16.23564,0.0731,0.2797,6.0,
5,2,877,Lao,J011425.6+002942,18.60669,0.49247,0.35461,93.1,WISEA J011425.60+002932.8
5,2,21,Mirabest,J011425.6+002933,18.60663,0.49241,0.3546,4.9,
6,2,925,Lao,J013134.8+003328,22.88716,0.55598,0.07926,539.26,DESI J013132.92+003321.5
6,2,26,Mirabest,J013132.9+003321,22.887171,0.55597,0.0792,126.4,
7,2,931,Lao,J013246.8+011602,23.19652,1.26271,0.1256,254.43,WISEA J013247.16+011545.7
7,2,29,Mirabest,J013247.2+011546,23.19653,1.26271,0.1256,1.6,
8,2,1075,Lao,J023026.6+010848,37.61692,1.14716,0.2673,141.02,WISEA J023028.06+010849.7
8,2,40,Mirabest,J023028.1+010850,37.616908,1.14716,0.2673,2.0,
9,2,1099,Lao,J024558.3-064844,41.49392,-6.81688,0.13857,119.17,WISEA J024558.53-064900.7
9,2,41,Mirabest,J024558.5-064901,41.493932,-6.81686,0.1386,5.3,
10,2,48,Lao,J001248.7-060652,3.2027,-6.11754,0.202,66.27,WISEA J001248.64-060703.1
10,2,47,Sasmal,J001248.6-060703,3.202583333,-6.117527778,0.2,66.0,
11,2,71,Lao,J002346.8+071759,5.94192,7.29874,0.25119,74.44,WISEA J002346.06+071755.4
11,2,70,Sasmal,J002346.0+071755,5.941916667,7.29875,0.25,74.0,
12,2,80,Lao,J002719.3+022433,6.82955,2.40798,0.1583,132.31,WISEA J002719.09+022428.7
