idx,radioname,ra,dec,Label
L0001,J000115.37-082639.6,00 01 15.37,-08 26 39.6,nat
L0003,J000122.13-001135.4,00 01 22.13,-00 11 35.4,nat
L0014,J000703.97+092110.7,00 07 03.97,+09 21 10.7,nat
L0024,J001248.72-060652.7,00 12 48.72,-06 06 52.7,nat
L0039,J002224.42+080220.4,00 22 24.42,+08 02 20.4,nat
L0043,J002346.82+071759.6,00 23 46.82,+07 17 59.6,nat
L0062,J003133.42+013024.0,00 31 33.42,+01 30 24.0,nat
L0069,J003430.61+114047.4,00 34 30.61,+11 40 47.4,nat
L0088,J004327.84-030501.2,00 43 27.84,-03 05 01.2,nat
L0108,J005451.31+070307.1,00 54 51.31,+07 03 07.1,nat
L0112,J005601.14-012044.4,00 56 01.14,-01 20 44.4,nat
L0123,J005837.62+011340.2,00 58 37.62,+01 13 40.2,nat
L0125,J005946.74+102240.8,00 59 46.74,+10 22 40.8,nat
L0130,J010236.90-004958.8,01 02 36.90,-00 49 58.8,nat
L0142,J010815.10-081125.6,01 08 15.10,-08 11 25.6,nat
L0160,J011533.93+053613.0,01 15 33.93,+05 36 13.0,nat
L0170,J012113.87-080957.2,01 21 13.87,-08 09 57.2,nat
L0196,J013523.99-051637.6,01 35 23.99,-05 16 37.6,nat
L0231,J014807.61+000056.4,01 48 07.61,+00 00 56.4,nat
L0249,J015436.93+041711.9,01 54 36.93,+04 17 11.9,nat
L0250,J015504.36+043830.0,01 55 04.36,+04 38 30.0,nat
L0266,J020257.70-050021.8,02 02 57.70,-05 00 21.8,nat
L0282,J021147.28-092039.7,02 11 47.28,-09 20 39.7,nat
L0296,J021825.22-071102.1,02 18 25.22,-07 11 02.1,nat
L0309,J022449.25-001909.0,02 24 49.25,-00 19 09.0,nat
L0311,J022641.98-015732.3,02 26 41.98,-01 57 32.3,nat
L0317,J023026.68+010848.6,02 30 26.68,+01 08 48.6,nat
L0318,J023117.46+053107.2,02 31 17.46,+05 31 07.2,nat
L0343,J024653.63+053530.0,02 46 53.63,+05 35 30.0,nat
L0381,J031314.09+001811.4,03 13 14.09,+00 18 11.4,nat
L0400,J033413.80-011112.6,03 34 13.80,-01 11 12.6,nat
L0402,J033447.45+041449.8,03 34 47.45,+04 14 49.8,nat
L0405,J033750.58+042106.0,03 37 50.58,+04 21 06.0,nat
L0417,J065604.05+574253.3,06 56 04.05,+57 42 53.3,nat
L0418,J065641.63+311524.1,06 56 41.63,+31 15 24.1,nat
L0430,J070509.60+583133.0,07 05 09.60,+58 31 33.0,nat
L0438,J070805.68+411345.4,07 08 05.68,+41 13 45.4,nat
L0459,J071520.28+482926.3,07 15 20.28,+48 29 26.3,nat
L0464,J071644.84+361136.3,07 16 44.84,+36 11 36.3,nat
L0477,J072050.82+335854.0,07 20 50.82,+33 58 54.0,nat
L0491,J072523.07+622926.1,07 25 23.07,+62 29 26.1,nat
L0504,J072809.76+350628.7,07 28 09.76,+35 06 28.7,nat
L0532,J073238.21+354146.1,07 32 38.21,+35 41 46.1,nat
L0544,J073540.42+361918.5,07 35 40.42,+36 19 18.5,nat
L0558,J073841.81+632939.9,07 38 41.81,+63 29 39.9,nat
L0560,J073848.31+415925.8,07 38 48.31,+41 59 25.8,nat
L0566,J073929.07+260629.8,07 39 29.07,+26 06 29.8,nat
L0570,J074025.09+485121.0,07 40 25.09,+48 51 21.0,nat
L0580,J074305.69+271029.1,07 43 05.69,+27 10 29.1,nat
L0645,J075643.03+603042.4,07 56 43.03,+60 30 42.4,nat
L0648,J075706.49+355853.3,07 57 06.49,+35 58 53.3,nat
L0661,J075955.36+445021.0,07 59 55.36,+44 50 21.0,nat
L0662,J080008.02+181541.4,08 00 08.02,+18 15 41.4,nat
L0665,J080053.25+132955.4,08 00 53.25,+13 29 55.4,nat
L0682,J080440.02+543436.8,08 04 40.02,+54 34 36.8,nat
