RA,Dec,z,"L_rad,t",Size_rad,M_{BH},g-r,FRI,FRII,WAT,NAT,source_name,f_name,Host_name,f_z,Type,S1400MHz,S3000MHz,alpha,OA,Rc,LAS,Mr,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500
0.29668,-0.33655,0.5174,25.74,263.0,,0.12,True,False,True,False,J000111.57-002012.0,,DESI J000111.20-002011.6,s,"FR-I,WAT",66.89,54.34,0.27,133.0,33.4,41,,,,,,,,,,,
0.31298,-8.44618,0.32871,25.76,196.0,8.6,1.68,False,True,False,True,J000115.37-082639.6,"b,f",SDSS J000115.11-082646.2,s,"FR-II,NAT",154.89,75.44,0.94,48.2,7.9,40,-23.17,AMF J000115.1-082646,0.3287,s,1344.0,0.0,0.0,0.639,23.35,1.06,13.0
0.3397,1.03037,0.55205,25.21,225.0,8.12,1.85,False,False,True,False,J000121.53+010147.4,,WISEA J000121.52+010149.3,s,"--,WAT",17.27,13.91,0.28,161.9,30.8,34,-23.6,WHL J000121.5+010149,0.552,s,2124.0,0.0,0.0,0.662,32.52,1.47,21.0
0.33959,-0.19445,0.46152,25.95,217.0,8.35,0.62,True,False,False,True,J000122.13-001135.4,,DESI J000121.47-001140.3,s,"FR-I,NAT",118.45,70.76,0.68,72.8,12.7,36,-22.09,WHL J000121.9-001138,0.4641,s,1829.0,7.0,42.0,0.47,7.22,0.36,4.0
0.87794,0.46578,0.19199,24.7,251.0,9.06,1.28,True,False,True,False,J000331.85+002812.0,j,WISEA J000330.70+002756.8,s,"FR-I,WAT",43.38,18.48,1.12,112.8,38.4,76,-22.95,maxBCG J000330.7+002757,0.1951,s,827.0,0.0,0.0,0.791,40.09,1.8,17.0
0.97197,12.17334,0.76324,26.79,258.0,8.45,0.95,True,False,True,False,J000353.42+121031.1,,WISEA J000353.27+121024.0,s,"FR-I,WAT",241.04,132.36,0.79,98.1,21.1,34,-23.15,WH J000344.8+120949,0.7438,p,2713.0,129.0,973.0,0.436,12.34,0.57,6.0
1.15311,10.78809,0.57842,25.67,393.0,,2.12,True,False,True,False,J000436.48+104724.0,,DESI J000436.75+104717.1,p,"FR-I,WAT",27.01,9.53,1.37,168.4,269.2,58,,,,,,,,,,,
1.18221,6.40131,0.55224,25.46,139.0,8.75,1.93,True,False,False,True,J000443.77+062411.4,,WISEA J000443.72+062404.7,s,"FR-I,NAT",23.31,11.96,0.88,89.3,8.7,21,-23.75,WHL J000441.9+062135,0.5725,p,2190.0,152.0,1026.0,0.895,74.21,3.27,29.0
1.29805,-7.93294,0.35151,25.64,174.0,8.57,1.69,False,True,True,False,J000511.32-075556.9,,DESI J000511.53-075558.6,p,"FR-II,WAT",104.93,57.3,0.79,138.0,37.4,34,-23.88,WHL J000511.5-075559,0.33,s,1349.0,0.0,0.0,0.826,50.31,2.24,16.0
1.39048,-3.40459,0.68202,26.03,218.0,,0.35,True,False,True,False,J000533.71-032416.7,,DESI J000533.71-032416.5,p,"FR-I,WAT",43.98,17.37,1.22,163.6,40.5,30,,WH22 J000527.1-032354,0.6562,p,2453.0,102.0,732.0,0.501,19.47,0.89,12.0
1.52033,1.16692,1.07091,26.42,527.0,,,False,True,True,False,J000605.20+011009.5,,DESI J000604.88+011000.9,p,"FR-II,WAT",39.79,18.39,1.01,146.3,74.4,63,,WH J000604.9+011001,1.0397,p,3499.0,0.0,0.0,0.42,16.1,0.74,8.0
1.53119,-10.5092,0.21714,24.93,204.0,8.85,1.37,True,False,True,False,J000607.55-103028.1,,WISEA J000607.48-103033.1,s,"FR-I,WAT",56.88,24.95,1.08,151.3,67.7,56,-22.99,WHL J000615.3-103043,0.5476,s,2109.0,115.0,760.0,0.957,89.53,3.92,56.0
1.529,10.8705,0.16922,24.86,224.0,8.87,1.33,True,False,True,False,J000608.01+105211.3,,WISEA J000606.95+105213.8,s,"FR-I,WAT",84.54,39.27,1.01,119.8,39.8,75,-22.9,CFSFDP J000558.9+105407,0.4949,s,1934.0,164.0,1029.0,0.408,11.64,0.54,6.0
1.55142,-10.47312,0.22143,24.45,122.0,8.54,1.4,False,False,True,False,J000612.69-102820.4,,WISEA J000612.34-102823.2,s,"--,WAT",18.45,9.53,0.87,161.6,84.8,33,-22.5,maxBCG J000611.5-102819,0.2214,s,932.0,12.0,44.0,1.073,95.8,4.19,53.0
1.76609,9.35308,0.97866,26.05,205.0,,,False,True,True,False,J000703.97+092110.7,,DESI J000703.86+092111.1,p,"FR-II,WAT",31.04,22.19,0.44,135.0,11.4,25,,Y21 J000703.9+092051,0.7741,p,2800.0,20.0,153.0,0.51,22.28,1.02,13.0
1.76719,-1.49916,,,,,1.87,False,True,True,False,J000704.13-012957.0,,,,"FR-II,WAT",28.55,18.77,0.55,140.0,26.6,27,,,,,,,,,,,
1.77994,5.60262,0.23552,26.23,139.0,,0.96,True,False,False,True,J000706.37+053609.6,f,DESI J000707.18+053609.4,p,"FR-I,NAT",806.25,206.3,1.79,54.3,12.3,36,,,,,,,,,,,
1.87566,12.55697,0.71128,25.18,163.0,9.77,2.0,True,False,True,False,J000730.00+123324.6,,WISEA J000730.15+123325.0,s,"FR-I,WAT",9.9,8.78,0.16,156.4,19.0,22,-22.48,WH J000730.2+123325,0.7104,s,2616.0,1.0,7.0,0.548,22.17,1.01,6.0
2.02587,1.99294,0.36942,25.16,137.0,8.45,1.8,True,False,True,False,J000806.38+015933.0,,WISEA J000806.20+015934.5,s,"FR-I,WAT",31.43,17.8,0.75,136.1,20.8,26,-22.46,AMF J000810.4+020112,0.3667,s,1484.0,116.0,611.0,1.03,90.19,3.95,59.0
2.27176,7.14137,,,,,1.07,False,True,True,False,J000905.22+070828.9,,,,"FR-II,WAT",35.63,17.04,0.97,138.9,21.5,30,,,,,,,,,,,
2.89479,5.59961,,,,,0.67,False,True,True,False,J001134.75+053558.6,,,,"FR-II,WAT",118.05,50.97,1.1,146.2,34.7,49,,,,,,,,,,,
2.97933,-2.12042,0.40831,25.61,309.0,,1.69,False,False,True,False,J001155.43-020717.3,,DESI J001155.04-020713.5,p,"--,WAT",58.47,22.1,1.28,131.9,40.9,55,,CFSFDP J001206.3-020713,0.5017,s,1957.0,168.0,1061.0,0.461,17.26,0.79,11.0
3.01245,-4.83768,0.91337,26.65,483.0,,,False,True,True,False,J001203.77-045009.8,,DESI J001202.99-045015.7,p,"FR-II,WAT",80.66,29.15,1.34,132.0,38.8,60,,,,,,,,,,,
3.06202,9.3357,0.54019,25.84,236.0,8.88,2.01,False,True,True,False,J001215.21+092009.1,,WISEA J001214.88+092008.5,s,"FR-II,WAT",59.01,30.59,0.86,126.4,22.4,36,-24.08,WHL J001214.9+092009,0.5402,s,2085.0,0.0,0.0,0.834,61.31,2.72,27.0
3.2027,-6.11754,0.202,24.92,99.0,8.34,1.3,False,True,False,True,J001248.72-060652.7,f,WISEA J001248.64-060703.1,s,"FR-II,NAT",66.27,32.27,0.94,36.1,6.1,29,-23.11,WHL J001252.1-060715,0.2035,s,860.0,53.0,184.0,0.923,57.12,2.54,29.0
3.77799,12.05165,0.47987,25.37,178.0,,1.65,False,True,True,False,J001506.56+120304.0,,SDSS J001506.71+120305.9,s,"FR-II,WAT",30.43,20.58,0.51,169.7,30.1,29,-22.44,CFSFDP J001511.6+120206,0.8285,p,2953.0,93.0,728.0,0.559,23.73,1.08,9.0
3.82785,-1.72143,1.06066,26.32,359.0,,2.95,False,True,True,False,J001519.10-014314.3,,DESI J001518.68-014317.1,p,"FR-II,WAT",28.25,11.3,1.2,154.6,41.6,43,,WH J001522.3-014511,0.9889,p,3374.0,126.0,1036.0,0.418,10.86,0.51,6.0
3.84514,0.15604,0.44015,25.79,235.0,8.59,1.88,False,True,True,False,J001522.61+000922.2,,WISEA J001522.83+000921.7,s,"FR-II,WAT",82.3,38.99,0.98,151.2,36.4,40,-23.71,WHL J001522.8+000922,0.444,s,1760.0,0.0,0.0,0.937,82.5,3.62,34.0
3.92821,-0.81299,0.15426,24.95,141.0,8.28,1.14,True,False,True,False,J001542.77-004841.4,,WISEA J001542.77-004846.7,s,"FR-I,WAT",125.67,54.57,1.09,158.8,51.0,51,-22.61,maxBCG J001542.8-004847,0.1543,s,661.0,0.0,0.0,0.583,17.62,0.81,13.0
4.1783,-6.73642,0.40404,25.67,268.0,8.99,1.84,False,False,True,False,J001643.17-064407.2,,SDSS J001642.79-064411.1,s,"--,WAT",76.89,36.77,0.97,131.5,22.6,48,-23.12,WHL J001642.8-064411,0.4071,s,1630.0,0.0,0.0,0.7,33.2,1.5,17.0
4.50854,-8.28602,0.62522,25.59,210.0,8.36,1.81,False,False,True,False,J001802.18-081714.4,,WISEA J001802.05-081709.6,s,"--,WAT",25.69,14.93,0.71,137.4,21.4,30,-22.9,Y21 J001802.0-081710,0.6251,s,2357.0,0.0,0.0,0.675,38.28,1.72,17.0
4.64747,12.20463,0.18109,24.48,91.0,,1.28,False,False,True,False,J001835.73+121222.5,,DESI J001835.39+121216.7,p,"--,WAT",31.11,15.83,0.89,99.0,14.6,29,,AMF J001836.0+121210,0.205,p,866.0,10.0,35.0,0.643,19.55,0.9,10.0
4.82278,-1.06599,0.37181,25.68,355.0,8.34,1.45,False,True,True,False,J001916.97-010402.4,,DESI J001917.47-010357.6,s,"FR-II,WAT",107.07,67.34,0.61,142.9,343.0,67,-22.51,,,,,,,,,,
4.89148,11.55604,0.54945,25.15,158.0,7.57,1.55,False,True,True,False,J001933.92+113322.8,,WISEA J001933.95+113321.7,s,"FR-II,WAT",15.1,12.07,0.29,169.0,40.0,24,-21.89,WH J001934.0+113322,0.5494,s,2115.0,0.0,0.0,0.376,10.8,0.5,6.0
5.03323,-9.84763,0.83875,25.53,212.0,,1.91,False,False,True,False,J002008.05-095053.9,f,DESI J002007.97-095051.5,p,"--,WAT",12.26,7.88,0.58,163.0,33.2,27,,WH J002008.0-095051,0.8605,p,3040.0,0.0,0.0,0.47,21.08,0.96,8.0
5.17406,-11.34931,0.15286,25.49,195.0,,1.19,True,False,True,False,J002041.45-112103.0,j,WISEA J002041.77-112057.5,s,"FR-I,WAT",430.78,157.38,1.32,99.0,23.3,71,,WHL J002041.8-112058,0.1634,p,698.0,0.0,0.0,0.829,42.15,1.89,18.0
5.48566,-8.55643,0.9228,26.04,161.0,,2.29,False,False,True,False,J002156.20-083320.9,,DESI J002156.56-083323.2,p,"--,WAT",18.61,6.35,1.41,116.1,17.7,20,,Y21 J002156.6-083323,1.004,p,3411.0,0.0,0.0,0.666,49.33,2.2,11.0
5.48833,9.31692,0.4465,25.56,183.0,,1.99,False,True,True,False,J002157.29+091906.5,,WISEA J002157.19+091900.8,s,"FR-II,WAT",48.65,24.59,0.9,123.3,15.8,31,,WHL J002157.2+091901,0.4465,s,1768.0,0.0,0.0,0.781,47.96,2.14,33.0
5.56875,1.06815,0.53403,25.69,306.0,8.52,1.93,False,False,True,False,J002216.73+010402.4,,WISEA J002216.49+010405.3,s,"--,WAT",38.08,15.64,1.17,158.0,62.2,47,-23.2,WH J002216.5+010405,0.534,s,2065.0,0.0,0.0,0.489,11.12,0.52,6.0
5.60284,8.03934,0.40221,25.45,117.0,,1.87,True,False,False,True,J002224.42+080220.4,,DESI J002224.68+080221.6,p,"FR-I,NAT",45.84,21.32,1.0,72.0,23.3,21,,redMaPPer J002224.7+080222,0.4171,p,1665.0,0.0,0.0,0.778,46.63,2.08,27.0
5.82744,2.2125,0.6106,26.05,201.0,8.64,1.92,False,True,True,False,J002318.88+021244.3,,SDSS J002318.58+021244.9,s,"FR-II,WAT",63.63,26.88,1.13,136.9,14.8,29,-22.52,WH J002326.6+021415,0.4166,s,1664.0,150.0,854.0,0.581,15.35,0.71,9.0
