widx,Catalog,FIRST_ID,RA,Dec,z,FR0,FRI,FRII,WAT,NAT,HT,Confused,Double_Double,Diffuse,L_1.4GHz_log,M_{BH},alpha,NVSS_ID,Plate,Julian,Fibre,Host_name,f_name,f_Seq,Other,PosRef,Offset,f_z,Flux_FIRST_1400MHz,Flux_NVSS_1400MHz,Flux_3000MHz,Flux_150MHz,RCl,Size_rad,LAS,OA,Rc,g-r,Mr,Mstar,R_50,D_4000,C,mu_50,eta,Q,n,PCA1,PCA2,L_[OIII],HERG-LERG,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500
1,Mirabest,J000010.8-001319,0.0450893,-0.22222,0.2989,False,False,True,False,False,False,True,False,False,25.04,,,J000010-001319,388,51793,320,,,,,,1.62,s,3.1,41.1,,,2,35.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mirabest,J000051.1+004715,0.213216,0.78772,0.1484,False,False,True,False,False,False,False,False,False,24.52,,,J000051+004715,686,52519,617,,,,,,1.54,s,5.5,58.6,,,2,26.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mirabest,J000101.5+000921,0.2563447,0.15609,0.4401,False,False,True,False,False,False,False,False,False,25.67,,,J000101+000921,687,52518,473,,,,,,1.88,s,15.2,73.7,,,2,24.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lao,J000111.5-002012,0.29668,-0.33655,0.5174,False,True,False,True,False,False,False,False,False,25.74,,0.27,,,,,DESI J000111.20-002011.6,,,,,,s,66.89,,54.34,,,263,41,133,33.4,0.12,,,,,,,,,,,,,,,,,,,,,,,
5,Sasmal,J000115.1-082646,0.312958333333333,-8.44616666666667,0.33,False,False,False,True,False,False,False,False,False,25.7181196309597,,,,,,,,,,,SDSS,,s,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Lao,J000115.3-082639,0.31298,-8.44618,0.32871,False,False,True,False,True,False,False,False,False,25.76,8.6,0.94,,,,,SDSS J000115.11-082646.2,"b,f",,,,,s,154.89,,75.44,,,196,40,48.2,7.9,1.68,-23.17,,,,,,,,,,,,,AMF J000115.1-082646,0.3287,s,1344,0,0,0.639,23.35,1.06,13
7,Lao,J000121.5+010147,0.3397,1.03037,0.55205,False,False,False,True,False,False,False,False,False,25.21,8.12,0.28,,,,,WISEA J000121.52+010149.3,,,,,,s,17.27,,13.91,,,225,34,161.9,30.8,1.85,-23.6,,,,,,,,,,,,,WHL J000121.5+010149,0.552,s,2124,0,0,0.662,32.52,1.47,21
8,Lao,J000122.1-001135,0.33959,-0.19445,0.46152,False,True,False,False,True,False,False,False,False,25.95,8.35,0.68,,,,,DESI J000121.47-001140.3,,,,,,s,118.45,,70.76,,,217,36,72.8,12.7,0.62,-22.09,,,,,,,,,,,,,WHL J000121.9-001138,0.4641,s,1829,7,42,0.47,7.22,0.36,4
9,Mirabest,J000247.2-091703,0.6967293,-9.28422,0.0529,False,True,False,False,False,False,False,False,False,23.54,8.56,,J000247-091703,656,52148,398,,,,,,0.7,s,4,53,,,2,80.6,,,,1.06,,10.96,2.47036295496208,2.01,3.01,9.3763,1.727,-1.262,-99,2.632,-1.726,5.86,0,,,,,,,,,,
10,Mirabest,J000252.0-091346,0.7168413,-9.22956,0.07628,True,False,False,False,False,False,False,False,False,,8.48,,J000252-091346,655,52162,581,,,,,,0.11,s,20.9,148.4,,,1,,,,,1.05,,11.19,4.51049950993566,1.96,3.32,9.08337,0.873,-0.295,-99,2.371,-0.321,6.18,0,,,,,,,,,,
11,Mirabest,J000252.8-103956,0.7202367,-10.66558,0.1275,False,True,False,False,False,False,True,False,False,24.74,,,J000252-103956,656,52148,297,,,,,,0.67,s,12.6,133,,,4,95.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Mirabest,J000256.3+010152,0.7346307,1.03133,0.1117,False,False,True,False,False,False,False,False,False,25.06,,,J000256+010152,393,51794,445,,,,,,0.33,s,11,366,,,4,180.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Lao,J000331.8+002812,0.87794,0.46578,0.19199,False,True,False,True,False,False,False,False,False,24.7,9.06,1.12,,,,,WISEA J000330.70+002756.8,j,,,,,s,43.38,,18.48,,,251,76,112.8,38.4,1.28,-22.95,,,,,,,,,,,,,maxBCG J000330.7+002757,0.1951,s,827,0,0,0.791,40.09,1.8,17
14,Mirabest,J000345.3-093629,0.9389107,-9.60826,0.1031,False,True,False,False,False,True,False,False,False,24.74,,,J000345-093629,658,52146,397,,,,,,0.04,s,99.3,207,,,4,34.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
