widx,source_catalog,FIRST_ID,RA,Dec,z,FR0,FRI,FRII,WAT,NAT,HT,Confused,Double_Double,Diffuse,L_1.4GHz_log,M_{BH},alpha,NVSS_ID,Plate,Julian,Fibre,Host_name,f_name,f_Seq,Other,PosRef,Offset,f_z,Flux_FIRST_1400MHz,Flux_NVSS_1400MHz,Flux_3000MHz,Flux_150MHz,RCl,Size_rad,LAS,OA,Rc,g-r,Mr,Mstar,R_50,D_4000,C,mu_50,eta,Q,n,PCA1,PCA2,L_[OIII],HERG-LERG,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500,xmatch_zgated
1,Mirabest,J000242.3-001320,0.676339,-0.22222,0.2989,False,False,True,False,False,False,True,False,False,25.04,,,J000242-001320,388.0,51793.0,320.0,,,,,,1.62,s,3.1,41.1,,,2.0,35.63,,,,,,,,,,,,,,,,,,WHL J000242.3-001320,0.2989,,,0.19,,0.7,26.52,1.208,12.0,Y
2,Mirabest,J001247.6+004716,3.19824,0.78772,0.1484,False,False,True,False,False,False,False,False,False,24.52,,,J001248+004716,686.0,52519.0,617.0,,,,,,1.54,s,5.5,58.6,,,2.0,26.82,,,,,,,,,,,,,,,,,,WHL J001247.6+004716,0.1507,,,0.04,,0.72,21.3,0.977,13.0,Y
3,Lao+Mirabest,J001522.6+000922,3.84514,0.15604,0.44015,False,False,True,True,False,False,False,False,False,25.79,8.59,0.98,J001523+000922,687.0,52518.0,473.0,WISEA J001522.83+000921.7,,,,,1.88,s,82.3,73.7,38.99,,2.0,235.0,40.0,151.2,36.4,1.88,-23.71,,,,,,,,,,,,,WHL J001522.8+000922,0.444,s,1760.0,0.0,0.0,0.937,82.5,3.62,34.0,Y
4,Lao,J000111.5-002012,0.29668,-0.33655,0.5174,False,True,False,True,False,False,False,False,False,25.74,,0.27,,,,,DESI J000111.20-002011.6,,,,,,s,66.89,,54.34,,,263.0,41.0,133.0,33.4,0.12,,,,,,,,,,,,,,,,,,,,,,,,
5,Lao+Sasmal,J000115.3-082639,0.31298,-8.44618,0.32871,False,False,True,False,True,False,False,False,False,25.76,8.6,0.94,,,,,SDSS J000115.11-082646.2,"b,f",,,SDSS,,s,154.89,,75.44,,,196.0,40.0,48.2,7.9,1.68,-23.17,,,,,,,,,,,,,AMF J000115.1-082646,0.3287,s,1344.0,0.0,0.0,0.639,23.35,1.06,13.0,Y
6,Lao,J000121.5+010147,0.3397,1.03037,0.55205,False,False,False,True,False,False,False,False,False,25.21,8.12,0.28,,,,,WISEA J000121.52+010149.3,,,,,,s,17.27,,13.91,,,225.0,34.0,161.9,30.8,1.85,-23.6,,,,,,,,,,,,,WHL J000121.5+010149,0.552,s,2124.0,0.0,0.0,0.662,32.52,1.47,21.0,
7,Lao,J000122.1-001135,0.33959,-0.19445,0.46152,False,True,False,False,True,False,False,False,False,25.95,8.35,0.68,,,,,DESI J000121.47-001140.3,,,,,,s,118.45,,70.76,,,217.0,36.0,72.8,12.7,0.62,-22.09,,,,,,,,,,,,,WHL J000121.9-001138,0.4641,s,1829.0,7.0,42.0,0.47,7.22,0.36,4.0,
8,Mirabest,J004148.2-091703,10.45094,-9.28422,0.0529,False,True,False,False,False,False,False,False,False,23.54,8.56,,J004148-091703,656.0,52148.0,398.0,,,,,,0.7,s,4.0,53.0,,,2.0,80.6,,,,1.06,,10.96,2.470362955,2.01,3.01,9.3763,1.727,-1.262,-99.0,2.632,-1.726,5.86,0.0,WHL J004150.5-091811,0.0552,,,75.75,,1.12,79.47,3.5,54.0,Y
9,Mirabest,J004300.6-091346,10.752619,-9.22956,0.07628,True,False,False,False,False,False,False,False,False,,8.48,,J004301-091346,655.0,52162.0,581.0,,,,,,0.11,s,20.9,148.4,,,1.0,,,,,1.05,,11.19,4.51049951,1.96,3.32,9.08337,0.873,-0.295,-99.0,2.371,-0.321,6.18,0.0,,,,,,,,,,,
10,Mirabest,J004312.9-103956,10.803551,-10.66558,0.1275,False,True,False,False,False,False,True,False,False,24.74,,,J004313-103956,656.0,52148.0,297.0,,,,,,0.67,s,12.6,133.0,,,4.0,95.51,,,,,,,,,,,,,,,,,,WHL J004312.9-103956,0.1285,,,0.0,,0.81,35.67,1.61,20.0,Y
11,Mirabest,J004404.7+010153,11.01946,1.03133,0.1117,False,False,True,False,False,False,False,False,False,25.06,,,J004405+010153,393.0,51794.0,445.0,,,,,,0.33,s,11.0,366.0,,,4.0,180.11,,,,,,,,,,,,,,,,,,WHL J004404.7+010153,0.1111,,,0.15,,0.56,10.66,0.499,9.0,Y
12,Lao,J000331.8+002812,0.87794,0.46578,0.19199,False,True,False,True,False,False,False,False,False,24.7,9.06,1.12,,,,,WISEA J000330.70+002756.8,j,,,,,s,43.38,,18.48,,,251.0,76.0,112.8,38.4,1.28,-22.95,,,,,,,,,,,,,maxBCG J000330.7+002757,0.1951,s,827.0,0.0,0.0,0.791,40.09,1.8,17.0,
13,Mirabest,J005620.1-093630,14.083661,-9.60826,0.1031,False,True,False,False,False,True,False,False,False,24.74,,,J005620-093630,658.0,52146.0,397.0,,,,,,0.04,s,99.3,207.0,,,4.0,34.67,,,,,,,,,,,,,,,,,,WHL J005620.1-093630,0.1035,,,0.11,,0.68,17.93,0.827,8.0,Y
14,Mirabest,J005641.5-105203,14.172789,-10.86752,0.1959,False,False,True,False,False,False,True,False,False,25.04,,,J005641-105203,657.0,52177.0,13.0,,,,,,0.41,s,6.7,106.0,,,4.0,134.02,,,,,,,,,,,,,,,,,,WHL J005641.5-105203,0.1959,,,0.11,,0.62,11.82,0.552,10.0,Y
