RA,Dec,z,FR0,FRI,FRII,WAT,NAT,HT,Confused,Double_Double,Diffuse,"L_rad,t",Size_rad,Mstar,R_50,g-r,D_4000,C,mu_50,M_{BH},eta,Q,n,PCA1,PCA2,L_[OIII],HERG-LERG,Plate,Julian,Fibre,SNVSS,SFIRST,RCl,Offset,FIRST_ID,NVSS_ID
9.9446584,-0.02334,0.1392,False,False,True,False,False,False,False,False,False,24.92,107.66,,,,,,,,,,,,,,,267,51608,34,166.0,2.2,4,0.27,J003946.7-000124,J003946-000124
9.8472382,-0.88775,0.2715,False,False,True,False,False,False,False,False,False,25.08,30.0,,,,,,,,,,,,,,,267,51608,205,55.8,15.1,2,0.68,J003923.3-005315,J003923-005315
9.8285522,-0.84008,0.081,False,False,False,False,False,False,False,False,False,24.42,43.06,,,,,,,,,,,,,,,267,51608,260,167.0,11.5,2,0.39,J003918.8-005024,J003918-005024
10.031358,-0.87805,0.1364,False,True,False,False,False,False,False,False,False,24.86,124.24,,,,,,,,,,,,,,,269,51910,257,151.0,,4,,,J004007-005240
10.309576,-0.83961,0.341,False,False,True,False,False,False,False,False,False,25.47,27.38,,,,,,,,,,,,,,,271,51883,93,83.3,,2,,,J004114-005022
10.601602,0.10189,0.0968,False,True,False,False,False,False,False,False,False,25.06,145.39,11.69,9.534050732632984,1.03,1.88,3.03,8.93326,8.9,-1.006,-0.46,0.0,0.442,1.412,6.39,0.0,273,51957,633,499.0,109.9,4,0.67,J004224.3+000606,J004224+000606
10.652595,-0.78773,0.0952,False,False,True,False,False,False,True,False,False,23.98,115.91,11.47,7.657212222966505,1.01,1.92,3.19,8.90368,8.91,-0.038,-1.699,0.477,0.653,-0.265,6.33,0.0,274,51913,218,43.0,,4,,,J004236-004715
10.820581,0.99589,0.1065,False,False,True,False,False,False,True,False,False,24.44,71.47,,,,,,,,,,,,,,,275,51910,617,98.0,3.1,4,0.32,J004316.9+005945,J004316+005945
10.822538,-0.66806,0.0387,False,True,False,False,False,False,False,False,False,23.94,87.16,,,,,,,,,,,,,,,276,51909,314,250.0,102.8,2,0.52,J004317.4-004005,J004317-004005
10.833015,0.32231,0.039,False,True,False,False,False,False,False,False,False,23.34,83.86,,,,,,,,,,,,,,,276,51909,440,63.0,6.0,2,0.24,J004319.9+001920,J004319+001920
11.355532,-0.22246,0.101,False,True,False,True,False,False,False,False,False,25.24,85.64,,,,,,,,,,,,,,,279,51608,34,696.0,,4,,,J004525-001320
11.920459,-0.5261,0.1322,False,True,False,True,False,False,False,False,False,24.83,41.03,,,,,,,,,,,,,,,284,51662,114,152.0,,4,,,J004740-003133
11.994895,-0.53164,0.1782,False,False,True,False,False,False,True,False,False,24.64,123.28,,,,,,,,,,,,,,,285,51663,190,52.0,2.8,4,1.16,J004758.7-003153,J004758-003153
12.030362,-0.50945,0.3282,False,False,True,False,False,False,False,False,False,25.21,14.41,,,,,,,,,,,,,,,286,51999,267,49.7,,2,,,J004807-003034
12.184247,-0.33479,0.3192,False,False,True,False,False,False,False,False,False,25.48,12.41,,,,,,,,,,,,,,,287,52023,266,99.6,,2,,,J004844-002005
12.242898,0.79107,0.251,False,False,True,False,False,False,False,False,False,25.09,109.39,,,,,,,,,,,,,,,287,52023,573,68.0,4.4,4,1.98,J004858.2+004727,J004858+004727
12.323746,0.68112,0.4062,False,False,True,False,False,False,False,False,False,25.56,15.78,,,,,,,,,,,,,,,288,52000,490,68.8,,2,,,J004917+004052
12.342447,0.07151,0.1585,False,True,False,False,False,False,False,False,False,24.74,135.33,,,,,,,,,,,,,,,288,52000,502,84.0,33.5,4,2.58,J004922.1+000417,J004922+000417
12.546113,-0.92355,0.205,False,False,True,False,False,False,False,False,False,24.87,133.36,,,,,,,,,,,,,,,290,51941,291,64.0,4.2,4,0.57,J005011.0-005524,J005011-005524
12.746169,-1.01928,0.1468,False,False,True,False,False,False,False,False,False,24.39,12.19,,,,,,,,,,,,,,,291,51660,42,44.3,,2,,,J005059-010109
12.776247,0.12886,0.072,False,True,False,False,False,False,True,False,False,23.96,170.26,,,,,,,,,,,,,,,291,51660,594,73.5,3.2,4,0.85,J005106.2+000743,J005106+000743
12.840952,0.22934,0.04677,True,False,False,False,False,False,False,False,False,,,10.76,2.9633633331149167,1.0,1.73,3.35,9.01825,8.09,-1.345,0.415,0.0,0.629,2.261,6.62,0.0,292,51609,519,54.5,61.9,1,0.19,J005121.8+001345,J005121+001345
13.034331,-0.83675,0.08485,True,False,False,False,False,False,False,False,False,,,11.54,8.11988798729427,1.06,2.1,3.27,8.92272,8.47,0.236,0.053,0.699,1.956,0.506,6.19,0.0,293,51994,13,73.7,9.0,1,2.69,J005208.2-005012,J005208-005012
13.020899,0.22094,0.3788,False,False,False,True,False,False,True,False,False,25.38,7.12,,,,,,,,,,,,,,,293,51994,548,52.7,,2,,,J005205+001315
13.199146,0.23093,0.2121,False,False,True,False,False,False,False,False,False,25.08,26.48,,,,,,,,,,,,,,,294,51986,627,96.8,,2,,,J005247+001351
13.321274,-0.91701,0.0819,False,True,False,True,False,False,False,False,False,24.87,163.86,,,,,,,,,,,,,,,296,51665,208,463.0,13.6,4,1.53,J005317.1-005501,J005317-005501
13.601527,0.79072,0.2695,False,True,False,True,False,False,False,False,False,25.09,30.8,,,,,,,,,,,,,,,298,51955,579,59.0,31.2,2,1.44,J005424.3+004726,J005424+004726
