Num,f_Num,Name,RA_hms,Dec_dms,RA,Dec,PosRef,z,f_z,F1400,F150,alpha,Lum,FR,Other
1,,J0001-0826,00:01:15.11,-08:26:46.2,0.3129583333333333,-8.446166666666667,SDSS,0.33,d,156,,,,,
2,,J0007+0536,00:07:05.88,+05:36:02.3,1.7744999999999995,5.600638888888889,EE,,,307,,,,I,8
3,a,J0017-0149,00:17:32.28,-01:49:23.7,4.384499999999999,-1.82325,EE,,,91,,,,II,
4,,J0020-0950,00:20:08.01,-09:50:53.3,5.033374999999999,-9.84813888888889,EE,,,11,,,,I,1
5,,J0027+0224,00:27:19.11,+02:24:28.9,6.829625,2.408027777777778,2MASX,0.13,*,133,,,,,"1, 2"
6,,J0034+1140,03:34:30.50,+11:40:40.9,53.62708333333333,11.678027777777777,SDSS,,,18,,,,,
7,,J0035-0834,00:35:03.48,-08:34:39.2,8.7645,-8.577555555555556,2MASS,,,387,,,,II,8
8,,J0041-0651,00:41:10.52,-06:51:05.2,10.293833333333334,-6.851444444444444,EE,,,48,,,,,1
9,ac,J0041+0028,00:41:52.16,+00:28:34.9,10.467333333333332,0.4763611111111111,SDSS,0.15,d,94,,,,II,"13, 15"
10,,J0044+1026,00:44:58.90,+10:26:44.2,11.245416666666666,10.445611111111113,EE,,,226,,,,,
11,,J0045-0701,00:45:47.96,-07:01:40.7,11.449833333333332,-7.027972222222222,EE,,,123,,,,II,22
12,,J0046-0805,00:46:36.48,-08:05:45.6,11.652,-8.096,EE,,,15,,,,II,1
13,,J0057-0100,00:57:29.38,-01:00:59.1,14.372416666666664,-1.0164166666666667,EE,,,30,,,,,
14,,J0057-0336,00:57:33.71,-03:36:09.6,14.39045833333333,-3.602666666666667,2MASX,0.16,d,86,,,,I,"1, 2, 16"
15,a,J0103+0041,01:03:29.65,+00:41:01.8,15.873541666666666,0.6838333333333333,EE,,,155,641.0,-0.63,,I,
16,ad,J0120+0021,01:20:58.94,+00:21:39.2,20.24558333333333,0.3608888888888888,EE,,,45,185.0,-0.63,,II,
17,,J0158-0215,01:58:30.16,-02:15:30.4,29.625666666666664,-2.2584444444444443,SDSS,0.44,d,23,,,,II,
18,d,J0159-0119,01:59:55.52,-01:19:59.9,29.98133333333333,-1.3333055555555555,EE,,,23,,,,I,
19,,J0212-0450,02:12:16.55,-04:50:38.8,33.068958333333335,-4.844111111111111,EE,,,156,,,,II,
20,,J0224+0659,02:24:28.64,+06:59:23.2,36.11933333333333,6.989777777777777,EE,,,776,1965.0,-0.41,,I,
21,,J0229+0429,02:29:02.09,+04:29:03.3,37.25870833333333,4.48425,2MASX,0.19,d,34,,,,II,"1, 2, 8"
22,,J0233-0321,02:33:17.70,-03:21:00.6,38.32374999999999,-3.350166666666667,EE,,,662,,,,II,4
23,,J0242-0544,02:42:04.91,-05:44:17.0,40.52045833333333,-5.738055555555556,2MASX,0.14,d,65,,,,I,"8, 16"
24,c,J0245-0648,02:45:57.86,-06:48:55.9,41.49108333333333,-6.815530555555555,EE,,,29,,,,,14
25,a,J0248-0113,02:48:08.57,-01:13:44.2,42.035708333333325,-1.2289444444444446,SDSS,0.28,d,23,,,,,
26,,J0308-0607,03:08:50.29,-06:07:37.2,47.20954166666666,-6.127,2MASX,,,88,,,,,1
27,,J0312-0633,03:12:55.23,-06:33:43.1,48.230125,-6.561972222222222,EE,,,170,,,,II,
28,,J0313-0631,03:13:29.05,-06:31:19.5,48.37104166666666,-6.522083333333334,EE,,,87,,,,,1
29,,J0318-0810,03:18:00.43,-08:10:20.5,49.50179166666666,-8.17236111111111,EE,,,24,,,,,
30,a,J0320+0059,03:20:29.23,+00:59:44.9,50.12179166666667,0.9958055555555556,EE,,,75,392.0,-0.74,,I,
31,,J0331-0730,03:31:31.48,-07:30:01.8,52.88116666666666,-7.5005,EE,,,56,,,,II,1
32,,J0332+0024,03:32:36.25,+00:24:57.2,53.15104166666666,0.4158888888888889,EE,,,15,58.0,-0.6,,I,1
33,,J0334+0102,03:34:00.64,+01:02:15.9,53.502666666666656,1.0377500000000002,SDSS,0.38,d,6,,,,,
34,,J0335-0719,03:35:48.23,-07:19:12.5,53.95095833333333,-7.320138888888889,EE,,,84,,,,II,
35,,J0703+6014,07:03:11.18,+60:14:23.1,105.79658333333332,60.23975,2MASX,,,54,155.0,-0.47,,I,1
36,,J0704+6228,07:04:22.20,+62:28:13.2,106.0925,62.470333333333336,EE,,,44,205.0,-0.69,,I,1
37,,J0715+4829,07:15:19.07,+48:29:32.0,108.82945833333332,48.49222222222223,EE,,,39,,,,,
38,,J0717+4405,07:17:26.66,+44:05:02.3,109.36108333333333,44.08397222222222,EE,,,223,770.0,-0.55,,,
39,,J0719+5519,07:19:36.64,+55:19:42.8,109.90266666666663,55.32855555555556,EE,,,62,425.0,-0.86,,,1
40,,J0723+3323,07:23:59.55,+33:23:20.2,110.998125,33.38894444444444,EE,,,151,525.0,-0.56,,I,"6, 1, 2"
41,,J0724+3639,07:24:19.13,+36:39:56.7,111.07970833333331,36.66575,EE,,,52,168.0,-0.52,,I,
42,,J0726+3102,07:26:49.96,+31:02:04.0,111.70816666666666,31.034444444444446,2MASX,,,143,887.0,-0.82,,I,
43,,J0733+4213,07:33:12.73,+42:13:00.9,113.30304166666664,42.21691666666667,EE,,,275,,,,,
44,a,J0734+2933,07:34:06.21,+29:33:16.5,113.52587499999998,29.554583333333333,EE,,,106,610.0,-0.78,,I,
45,,J0736+1857,07:36:17.12,+18:57:10.2,114.07133333333331,18.95283333333333,2MASX,,,139,994.0,-0.88,,I,"1, 2"
46,a,J0741+2620,07:41:01.20,+26:20:36.6,115.255,26.3435,EE,,,10,64.0,-0.83,,,
47,,J0744+1658,07:44:59.31,+16:58:59.7,116.24712499999998,16.983249999999998,EE,,,41,107.0,-0.43,,II,1
48,,J0744+4353,07:44:42.18,+43:53:07.8,116.17574999999998,43.8855,EE,,,17,59.0,-0.56,,I,1
49,,J0748+2324,07:48:45.09,+23:24:45.7,117.187875,23.412694444444444,SDSS,0.19,d,515,3238.0,-0.82,7.48,,
50,,J0748+4849,07:48:30.52,+48:49:55.1,117.12716666666664,48.83197222222223,EE,,,12,,,,,1
51,,J0750+1741,07:50:49.80,+17:41:41.9,117.70749999999998,17.694972222222223,EE,,,79,460.0,-0.79,,II,2
52,,J0750+5841,07:50:18.30,+58:41:36.3,117.57625,58.69341666666666,2MASX,,,46,200.0,-0.66,,I,"1, 6"
53,,J0750+5856,07:50:05.16,+58:56:59.4,117.52149999999996,58.94983333333333,GALEX,,,92,,,,I,
54,a,J0752+3750,07:52:28.25,+37:50:56.7,118.11770833333333,37.84908333333333,EE,,,380,2557.0,-0.85,,II,4
55,,J0755+1909,07:55:11.29,+19:09:36.9,118.79704166666666,19.16025,SDSS,0.31,d,35,132.0,-0.59,2.0,I,20
56,,J0757+5824,07:57:38.30,+58:24:37.5,119.40958333333332,58.41041666666666,2MASX,,,19,,,,,1
57,ac,J0806+2531,08:06:11.29,+25:31:37.8,121.54704166666664,25.527166666666663,EE,,,129,,,,,
58,,J0811+1029,08:11:40.88,+10:29:27.3,122.92033333333332,10.490916666666664,2MASX,,,81,469.0,-0.78,,,1
59,,J0813+4347,08:13:00.11,+43:47:48.6,123.25045833333331,43.79683333333333,2MASX,0.13,d,337,,,,,"6, 13"
60,,J0814+4300,08:14:03.34,+43:00:12.9,123.51391666666665,43.00358333333333,EE,,,64,294.0,-0.68,,,
61,,J0815+3840,08:15:12.34,+38:40:45.4,123.80141666666668,38.67927777777778,2MASX,0.13,d,500,3313.0,-0.85,3.18,II,13
62,c,J0816+5716,08:16:59.33,+57:16:28.8,124.24720833333332,57.27466666666667,2MASX,0.2,d,143,718.0,-0.72,2.58,II,"1, 2, 6"
63,,J0818+3858,08:18:22.16,+38:58:40.4,124.59233333333331,38.97788888888889,EE,,,52,276.0,-0.74,,,
