Cat_ID,RGZ_ID,Zooniverse_ID,Host_RA,Host_Dec,SWIRE_ID,SWIRE_RA,SWIRE_Dec,IRAC_3.6um,IRAC_3.6um_err,IRAC_4.5um,IRAC_4.5um_err,IRAC_5.8um,IRAC_5.8um_err,IRAC_8.0um,IRAC_8.0um_err,N^SWIRE_MATCH,z_sp,z_ph
5,RGZ_J033133.0-283131,ARG0003r1f,52.88768,-28.52591,SWIRE3_J033133.02-283131.3,52.88761,-28.52537,26.96,0.86,30.46,1.11,,,,,1,,
6,RGZ_J032914.9-272332,ARG0003r1e,52.31246,-27.39279,SWIRE3_J032914.99-272332.6,52.31250,-27.39241,54.71,0.97,71.63,1.02,109.28,3.89,158.46,3.77,1,,
12,RGZ_J033323.7-272407,ARG0003r1q,53.34941,-27.40224,SWIRE3_J033323.78-272407.0,53.34911,-27.40197,47.68,1.05,59,1.32,47.38,4.86,,,1,,
13,RGZ_J033409.2-282419,ARG0003r18,53.53887,-28.40571,SWIRE3_J033409.29-282419.2,53.53875,-28.40535,68.55,1.1,42.74,0.64,,,,,1,,0.69
14,RGZ_J033405.2-282333,ARG0003r18,53.52206,-28.39284,SWIRE3_J033405.25-282333.8,53.52188,-28.39274,30.29,0.91,36.59,1.16,,,,,1,,
17,RGZ_J033126.9-281811,ARG0003r1a,52.86292,-28.30352,SWIRE3_J033126.99-281811.2,52.86250,-28.30313,481.66,1.59,508.52,2.45,567.93,4.41,750.78,5.18,1,,0.236
18,RGZ_J032846.5-282618,ARG0003r1b,52.19414,-28.43877,SWIRE3_J032846.56-282618.1,52.19404,-28.43838,70.11,0.89,84.53,0.81,102.19,3.84,83.92,2.88,1,,
19,RGZ_J033553.3-272740a,ARG0003r1c,53.97227,-27.46174,SWIRE3_J033553.33-272740.4,53.97225,-27.46123,404.36,2.05,366.98,2.16,286.58,5.32,959.02,5.69,1,,
20,RGZ_J033551.9-272652b,ARG0003r1c,53.96689,-27.44798,SWIRE3_J033551.90-272652.5,53.96629,-27.44793,34.79,0.64,26.72,0.77,,,,,1,,
22,RGZ_J033242.8-273817,ARG0003r1h,53.17787,-27.63825,SWIRE3_J033242.82-273817.6,53.17845,-27.63824,45.49,1.03,46.74,1.24,,,65.42,5.06,1,,1.148
23,RGZ_J033431.0-282525,ARG0003r1i,53.62977,-28.42426,SWIRE3_J033431.07-282525.8,53.62949,-28.42385,60.92,1.16,59.55,0.95,,,58.92,3.58,1,,1.323
26,RGZ_J033521.6-275601,ARG0003r1n,53.84029,-27.93427,SWIRE3_J033521.65-275601.8,53.84023,-27.93386,188.14,1.92,188.6,2.1,122.97,5.65,580.99,7.1,1,,0.271
27,RGZ_J033034.5-282707,ARG0003r1o,52.64413,-28.45265,SWIRE3_J033034.56-282707.7,52.64403,-28.45216,29.32,0.88,38.89,1.18,56.02,5.11,53.34,5.14,1,,1.582
28,RGZ_J033021.8-280206,ARG0003r1p,52.59156,-28.03542,SWIRE3_J033021.89-280206.1,52.59123,-28.03503,146.66,1.78,113.04,1.71,75.61,5.48,52.77,5.07,1,,0.459
