CatID,RGZID,ZooniverseID,RA,Dec,N_votes,N_total,CL,N_comp,N_peaks,LAE,TSA,OL,TF,TF_err,DC
5,RGZ_J033133.0-283131,ARG0003r1f,52.88665,-28.52605,6,6,1.0,1,2,98.7,2025.73,5796.95,2248.08,0.62,
6,RGZ_J032914.9-272332,ARG0003r1e,52.31236,-27.39255,35,38,0.92,1,2,87.0,2648.53,4986.1,3085.17,0.61,
12,RGZ_J033323.7-272407,ARG0003r1q,53.34921,-27.40189,7,7,1.0,1,1,57.4,905.4,3796.8,1101.89,0.27,
13,RGZ_J033409.2-282419,ARG0003r18,53.53858,-28.40529,25,35,0.71,1,1,64.1,1130.76,4170.21,2288.64,0.33,
14,RGZ_J033405.2-282333,ARG0003r18,53.52216,-28.39259,25,35,0.71,1,1,28.9,255.6,4170.21,26.07,0.16,
17,RGZ_J033126.9-281811,ARG0003r1a,52.86145,-28.30475,6,6,1.0,1,1,100.3,3517.21,6296.0,3094.92,0.88,
18,RGZ_J032846.5-282618,ARG0003r1b,52.19421,-28.43811,10,10,1.0,1,2,64.2,1102.68,3962.58,2270.86,0.31,
19,RGZ_J033553.3-272740a,ARG0003r1c,53.97216,-27.46153,24,32,0.75,1,1,58.4,991.8,3578.64,2450.43,0.27,
20,RGZ_J033551.9-272652b,ARG0003r1c,53.96715,-27.44745,24,32,0.75,1,1,21.0,134.64,3578.64,6.71,0.1,
22,RGZ_J033242.8-273817,ARG0003r1h,53.17691,-27.63808,7,7,1.0,1,2,68.7,1560.97,4436.65,1660.41,0.41,
23,RGZ_J033431.0-282525,ARG0003r1i,53.62883,-28.42365,24,34,0.71,1,1,69.5,1301.41,3728.98,1975.46,0.32,
26,RGZ_J033521.6-275601,ARG0003r1n,53.84499,-27.93437,10,10,1.0,1,1,73.5,1323.73,3608.14,1617.65,0.31,
27,RGZ_J033034.5-282707,ARG0003r1o,52.64407,-28.45194,8,8,1.0,1,1,60.8,1017.36,4302.1,1109.82,0.32,
28,RGZ_J033021.8-280206,ARG0003r1p,52.59112,-28.03441,10,10,1.0,1,1,72.5,952.56,4485.78,777.44,0.33,
