idx,radioname,ra,dec,Label
L0012,J000608.01+105211.3,00 06 08.01,+10 52 11.3,wat
L0020,J001134.75+053558.6,00 11 34.75,+05 35 58.6,wat
L0026,J001519.10-014314.3,00 15 19.10,-01 43 14.3,wat
L0029,J001643.17-064407.2,00 16 43.17,-06 44 07.2,wat
L0032,J001916.97-010402.4,00 19 16.97,-01 04 02.4,wat
L0037,J002157.29+091906.5,00 21 57.29,+09 19 06.5,wat
L0056,J002840.28+141646.8,00 28 40.28,+14 16 46.8,wat
L0063,J003150.92-102210.8,00 31 50.92,-10 22 10.8,wat
L0064,J003153.98-074605.4,00 31 53.98,-07 46 05.4,wat
L0075,J003833.32-092838.6,00 38 33.32,-09 28 38.6,wat
L0080,J004053.92-032803.6,00 40 53.92,-03 28 03.6,wat
L0103,J005211.73-031110.2,00 52 11.73,-03 11 10.2,wat
L0111,J005556.73-044001.8,00 55 56.73,-04 40 01.8,wat
L0119,J005712.00-030631.0,00 57 12.00,-03 06 31.0,wat
L0122,J005733.97-033604.1,00 57 33.97,-03 36 04.1,wat
L0127,J010029.76+112700.8,01 00 29.76,+11 27 00.8,wat
L0139,J010611.77+082022.9,01 06 11.77,+08 20 22.9,wat
L0143,J010832.25+030327.5,01 08 32.25,+03 03 27.5,wat
L0161,J011535.32+012749.2,01 15 35.32,+01 27 49.2,wat
L0163,J011728.11-105651.8,01 17 28.11,-10 56 51.8,wat
L0166,J012006.63+103644.9,01 20 06.63,+10 36 44.9,wat
L0191,J013157.71-081947.3,01 31 57.71,-08 19 47.3,wat
L0205,J013936.81+110311.7,01 39 36.81,+11 03 11.7,wat
L0212,J014201.03+053005.6,01 42 01.03,+05 30 05.6,wat
L0213,J014216.41+112830.6,01 42 16.41,+11 28 30.6,wat
L0221,J014535.85+113718.3,01 45 35.85,+11 37 18.3,wat
L0224,J014647.00-100613.2,01 46 47.00,-10 06 13.2,wat
L0248,J015430.42+054552.6,01 54 30.42,+05 45 52.6,wat
L0261,J015943.03-012311.9,01 59 43.03,-01 23 11.9,wat
L0277,J020958.00-100302.3,02 09 58.00,-10 03 02.3,wat
L0304,J022325.70+064032.8,02 23 25.70,+06 40 32.8,wat
L0319,J023149.09+015542.6,02 31 49.09,+01 55 42.6,wat
L0332,J024243.01-031144.3,02 42 43.01,-03 11 44.3,wat
L0333,J024245.37-022533.0,02 42 45.37,-02 25 33.0,wat
L0337,J024558.34-064844.3,02 45 58.34,-06 48 44.3,wat
L0340,J024631.73-011013.2,02 46 31.73,-01 10 13.2,wat
L0342,J024639.79-064210.2,02 46 39.79,-06 42 10.2,wat
L0355,J025343.36+015045.5,02 53 43.36,+01 50 45.5,wat
L0359,J025554.42-040123.4,02 55 54.42,-04 01 23.4,wat
L0370,J025935.12-032014.4,02 59 35.12,-03 20 14.4,wat
L0378,J030849.98-060731.2,03 08 49.98,-06 07 31.2,wat
L0395,J033131.33-072958.8,03 31 31.33,-07 29 58.8,wat
L0397,J033236.24+002454.6,03 32 36.24,+00 24 54.6,wat
L0406,J034031.56-011141.4,03 40 31.56,-01 11 41.4,wat
L0410,J034903.60+005430.0,03 49 03.60,+00 54 30.0,wat
L0411,J034927.10-064803.0,03 49 27.10,-06 48 03.0,wat
L0419,J065950.31+480143.2,06 59 50.31,+48 01 43.2,wat
L0422,J070030.29+494652.6,07 00 30.29,+49 46 52.6,wat
L0424,J070237.20+481755.1,07 02 37.20,+48 17 55.1,wat
L0425,J070238.11+603012.2,07 02 38.11,+60 30 12.2,wat
L0427,J070335.63+514712.9,07 03 35.63,+51 47 12.9,wat
L0434,J070725.65+592718.0,07 07 25.65,+59 27 18.0,wat
L0437,J070800.05+444909.8,07 08 00.05,+44 49 09.8,wat
L0446,J071043.31+602011.8,07 10 43.31,+60 20 11.8,wat
L0447,J071107.77+371527.5,07 11 07.77,+37 15 27.5,wat
L0450,J071152.32+375637.8,07 11 52.32,+37 56 37.8,wat
L0465,J071727.36+440504.5,07 17 27.36,+44 05 04.5,wat
L0471,J071904.11+465739.1,07 19 04.11,+46 57 39.1,wat
L0494,J072604.71+402928.6,07 26 04.71,+40 29 28.6,wat
L0502,J072737.11+355315.8,07 27 37.11,+35 53 15.8,wat
L0505,J072812.77+524044.8,07 28 12.77,+52 40 44.8,wat
L0506,J072812.89+555252.7,07 28 12.89,+55 52 52.7,wat
L0531,J073236.00+515553.3,07 32 36.00,+51 55 53.3,wat
L0548,J073617.00+185701.8,07 36 17.00,+18 57 01.8,wat
L0563,J073902.05+422739.0,07 39 02.05,+42 27 39.0,wat
L0577,J074156.04+364554.6,07 41 56.04,+36 45 54.6,wat
L0597,J074638.24+520049.2,07 46 38.24,+52 00 49.2,wat
L0598,J074646.98+222523.0,07 46 46.98,+22 25 23.0,wat
L0602,J074830.38+484953.1,07 48 30.38,+48 49 53.1,wat
L0620,J075223.81+452630.5,07 52 23.81,+45 26 30.5,wat
L0621,J075228.68+375058.5,07 52 28.68,+37 50 58.5,wat
L0632,J075347.28+230206.0,07 53 47.28,+23 02 06.0,wat
L0666,J080053.97+420244.2,08 00 53.97,+42 02 44.2,wat
L0679,J080343.80+095736.4,08 03 43.80,+09 57 36.4,wat
L0689,J080641.50+451321.1,08 06 41.50,+45 13 21.1,wat
L0700,J080924.05+432434.0,08 09 24.05,+43 24 34.0,wat
L0711,J081139.01+401452.1,08 11 39.01,+40 14 52.1,wat
L0712,J081140.77+102920.4,08 11 40.77,+10 29 20.4,wat
L0726,J081445.88+261548.0,08 14 45.88,+26 15 48.0,wat
L0734,J081556.60+520657.3,08 15 56.60,+52 06 57.3,wat
L0737,J081633.69+082333.6,08 16 33.69,+08 23 33.6,wat
L0753,J081732.94+245406.5,08 17 32.94,+24 54 06.5,wat
L0780,J082032.70+303449.6,08 20 32.70,+30 34 49.6,wat
L0785,J082110.17+100831.8,08 21 10.17,+10 08 31.8,wat
L0786,J082117.41+624226.5,08 21 17.41,+62 42 26.5,wat
L0788,J082122.75+184649.7,08 21 22.75,+18 46 49.7,wat
L0790,J082155.22+490223.2,08 21 55.22,+49 02 23.2,wat
L0793,J082217.43+085428.9,08 22 17.43,+08 54 28.9,wat
L0795,J082231.36+284110.8,08 22 31.36,+28 41 10.8,wat
L0802,J082258.30+143547.5,08 22 58.30,+14 35 47.5,wat
L0828,J082731.38+004838.4,08 27 31.38,+00 48 38.4,wat
L0831,J082818.47+274705.8,08 28 18.47,+27 47 05.8,wat
L0834,J082834.73+322829.4,08 28 34.73,+32 28 29.4,wat
L0849,J083016.92+083700.0,08 30 16.92,+08 37 00.0,wat
L0866,J083200.73+151329.5,08 32 00.73,+15 13 29.5,wat
L0867,J083228.01+003907.8,08 32 28.01,+00 39 07.8,wat
L0872,J083306.45+411431.0,08 33 06.45,+41 14 31.0,wat
L0876,J083341.60+382612.1,08 33 41.60,+38 26 12.1,wat
L0877,J083345.21+102808.2,08 33 45.21,+10 28 08.2,wat
L0878,J083348.30+010002.4,08 33 48.30,+01 00 02.4,wat
L0880,J083401.32+225744.3,08 34 01.32,+22 57 44.3,wat
L0890,J083540.72+142832.4,08 35 40.72,+14 28 32.4,wat
L0895,J083607.02-011319.2,08 36 07.02,-01 13 19.2,wat
L0898,J083638.70+224349.5,08 36 38.70,+22 43 49.5,wat
L0906,J083756.37+364913.3,08 37 56.37,+36 49 13.3,wat
L0950,J084352.45+270116.4,08 43 52.45,+27 01 16.4,wat
L0956,J084433.88+260613.7,08 44 33.88,+26 06 13.7,wat
L0997,J084921.86+400008.4,08 49 21.86,+40 00 08.4,wat
L1003,J084950.94+044103.4,08 49 50.94,+04 41 03.4,wat
L1008,J085025.56-031239.0,08 50 25.56,-03 12 39.0,wat
L1010,J085040.90+290902.9,08 50 40.90,+29 09 02.9,wat
L1033,J085320.31+385235.2,08 53 20.31,+38 52 35.2,wat
L1035,J085335.52-053528.8,08 53 35.52,-05 35 28.8,wat
L1044,J085523.91-040452.5,08 55 23.91,-04 04 52.5,wat
L1055,J085632.40+260713.0,08 56 32.40,+26 07 13.0,wat
L1058,J085708.10+095857.6,08 57 08.10,+09 58 57.6,wat
L1087,J085949.83+131212.0,08 59 49.83,+13 12 12.0,wat
L1104,J090121.54+520926.8,09 01 21.54,+52 09 26.8,wat
L1128,J090311.37+574010.2,09 03 11.37,+57 40 10.2,wat
L1138,J090452.15+380448.8,09 04 52.15,+38 04 48.8,wat
L1144,J090555.49-005324.6,09 05 55.49,-00 53 24.6,wat
L1153,J090716.95+121907.1,09 07 16.95,+12 19 07.1,wat
L1157,J090745.76+382742.9,09 07 45.76,+38 27 42.9,wat
L1162,J090809.40+581057.5,09 08 09.40,+58 10 57.5,wat
