idx,radioname,ra,dec,Label
L0017,J000730.00+123324.6,00 07 30.00,+12 33 24.6,sfri
L0431,J070642.10+484102.5,07 06 42.10,+48 41 02.5,sfri
L0448,J071110.67+541332.4,07 11 10.67,+54 13 32.4,sfri
L0534,J073247.64+384054.6,07 32 47.64,+38 40 54.6,sfri
L0657,J075852.56+283539.2,07 58 52.56,+28 35 39.2,sfri
L0686,J080543.44+161357.0,08 05 43.44,+16 13 57.0,sfri
L0755,J081736.44+595718.5,08 17 36.44,+59 57 18.5,sfri
L0800,J082252.30+084720.6,08 22 52.30,+08 47 20.6,sfri
L0953,J084413.00+632912.9,08 44 13.00,+63 29 12.9,sfri
L1004,J084959.45+424626.0,08 49 59.45,+42 46 26.0,sfri
L1006,J085014.68+310412.7,08 50 14.68,+31 04 12.7,sfri
L1015,J085101.56+163848.6,08 51 01.56,+16 38 48.6,sfri
L1030,J085242.51+154416.5,08 52 42.51,+15 44 16.5,sfri
L1069,J085814.32+505333.3,08 58 14.32,+50 53 33.3,sfri
L1083,J085924.53+361330.9,08 59 24.53,+36 13 30.9,sfri
L1121,J090235.04+204412.5,09 02 35.04,+20 44 12.5,sfri
L1163,J090835.77+483916.6,09 08 35.77,+48 39 16.6,sfri
L1312,J092708.52+475129.4,09 27 08.52,+47 51 29.4,sfri
L1338,J093149.19+194243.5,09 31 49.19,+19 42 43.5,sfri
L1372,J093636.74+100202.9,09 36 36.74,+10 02 02.9,sfri
L1396,J093953.25+233905.4,09 39 53.25,+23 39 05.4,sfri
L1451,J094743.63+181633.6,09 47 43.63,+18 16 33.6,sfri
L1463,J094942.77-005026.4,09 49 42.77,-00 50 26.4,sfri
L1500,J095528.08+034517.1,09 55 28.08,+03 45 17.1,sfri
L1580,J100709.94+133555.2,10 07 09.94,+13 35 55.2,sfri
L1589,J100836.78+281259.3,10 08 36.78,+28 12 59.3,sfri
L1643,J101625.63+083905.4,10 16 25.63,+08 39 05.4,sfri
L1663,J101919.80+422737.3,10 19 19.80,+42 27 37.3,sfri
L1670,J102040.85+315514.3,10 20 40.85,+31 55 14.3,sfri
L1682,J102238.27+383449.2,10 22 38.27,+38 34 49.2,sfri
L1741,J103019.17-071725.2,10 30 19.17,-07 17 25.2,sfri
L1860,J104645.76+314422.3,10 46 45.76,+31 44 22.3,sfri
L1867,J104714.09-002806.0,10 47 14.09,-00 28 06.0,sfri
L1871,J104742.65+434706.5,10 47 42.65,+43 47 06.5,sfri
L1907,J105238.94+313418.2,10 52 38.94,+31 34 18.2,sfri
L1937,J105704.78+614715.8,10 57 04.78,+61 47 15.8,sfri
L2139,J112923.68+210123.2,11 29 23.68,+21 01 23.2,sfri
L2169,J113241.76+121322.2,11 32 41.76,+12 13 22.2,sfri
L2235,J114144.65+131103.6,11 41 44.65,+13 11 03.6,sfri
L2246,J114305.95+184341.9,11 43 05.95,+18 43 41.9,sfri
L2256,J114432.78+213215.5,11 44 32.78,+21 32 15.5,sfri
L2266,J114546.50-041452.1,11 45 46.50,-04 14 52.1,sfri
L2267,J114555.75+283405.9,11 45 55.75,+28 34 05.9,sfri
L2306,J115125.78+545008.8,11 51 25.78,+54 50 08.8,sfri
L2402,J120240.46-031436.0,12 02 40.46,-03 14 36.0,sfri
L2410,J120333.68+110610.1,12 03 33.68,+11 06 10.1,sfri
L2507,J121627.43+292849.6,12 16 27.43,+29 28 49.6,sfri
L2605,J122849.68+215648.9,12 28 49.68,+21 56 48.9,sfri
L2675,J124007.70-042946.6,12 40 07.70,-04 29 46.6,sfri
L2677,J124009.37-042052.0,12 40 09.37,-04 20 52.0,sfri
L2703,J124335.28+092422.2,12 43 35.28,+09 24 22.2,sfri
L2740,J124843.22-034119.7,12 48 43.22,-03 41 19.7,sfri
L2754,J125115.07+204107.2,12 51 15.07,+20 41 07.2,sfri
L2777,J125418.24+152821.0,12 54 18.24,+15 28 21.0,sfri
L2778,J125418.66+002954.0,12 54 18.66,+00 29 54.0,sfri
L2794,J125658.49+061915.6,12 56 58.49,+06 19 15.6,sfri
L2890,J131234.79+111002.3,13 12 34.79,+11 10 02.3,sfri
L2908,J131459.33+061622.2,13 14 59.33,+06 16 22.2,sfri
L3007,J132656.87+481430.0,13 26 56.87,+48 14 30.0,sfri
L3012,J132731.03+510118.9,13 27 31.03,+51 01 18.9,sfri
L3033,J133037.19+390813.4,13 30 37.19,+39 08 13.4,sfri
L3037,J133105.89+163041.9,13 31 05.89,+16 30 41.9,sfri
L3132,J134056.81+621429.1,13 40 56.81,+62 14 29.1,sfri
L3207,J135342.29+331339.5,13 53 42.29,+33 13 39.5,sfri
L3228,J135620.37+181748.9,13 56 20.37,+18 17 48.9,sfri
L3247,J135822.72+181800.7,13 58 22.72,+18 18 00.7,sfri
L3249,J135827.09+080701.8,13 58 27.09,+08 07 01.8,sfri
L3251,J135835.16+092214.4,13 58 35.16,+09 22 14.4,sfri
L3268,J140000.27+283001.8,14 00 00.27,+28 30 01.8,sfri
L3285,J140220.92+013913.8,14 02 20.92,+01 39 13.8,sfri
L3312,J140617.86+275614.3,14 06 17.86,+27 56 14.3,sfri
L3356,J141251.76+283125.7,14 12 51.76,+28 31 25.7,sfri
L3373,J141513.62-013707.8,14 15 13.62,-01 37 07.8,sfri
L3489,J143039.05+100007.7,14 30 39.05,+10 00 07.7,sfri
L3503,J143136.43+522724.0,14 31 36.43,+52 27 24.0,sfri
L3505,J143149.56+605056.6,14 31 49.56,+60 50 56.6,sfri
L3526,J143408.36+013644.3,14 34 08.36,+01 36 44.3,sfri
L3643,J144921.99+501948.4,14 49 21.99,+50 19 48.4,sfri
L3658,J145051.53+121235.4,14 50 51.53,+12 12 35.4,sfri
L3742,J150209.00+530411.3,15 02 09.00,+53 04 11.3,sfri
L3795,J151033.00+184438.9,15 10 33.00,+18 44 38.9,sfri
L3897,J152847.07+064525.5,15 28 47.07,+06 45 25.5,sfri
L3973,J154216.85+555404.1,15 42 16.85,+55 54 04.1,sfri
L4008,J154807.30+400948.7,15 48 07.30,+40 09 48.7,sfri
L4023,J154952.35+190950.2,15 49 52.35,+19 09 50.2,sfri
L4121,J160646.74+223828.4,16 06 46.74,+22 38 28.4,sfri
L4156,J161247.54+052007.1,16 12 47.54,+05 20 07.1,sfri
L4167,J161403.48+590102.9,16 14 03.48,+59 01 02.9,sfri
L4198,J161913.13+112205.4,16 19 13.13,+11 22 05.4,sfri
L4264,J163017.29+143508.4,16 30 17.29,+14 35 08.4,sfri
L4292,J163516.00+504037.9,16 35 16.00,+50 40 37.9,sfri
L4565,J205151.94+033310.1,20 51 51.94,+03 33 10.1,sfri
L4571,J205803.96-001838.4,20 58 03.96,-00 18 38.4,sfri
L4733,J224417.77+055458.1,22 44 17.77,+05 54 58.1,sfri
L4757,J225831.93+053020.4,22 58 31.93,+05 30 20.4,sfri
L4787,J231128.07-071915.4,23 11 28.07,-07 19 15.4,sfri
M0003,J100152.89-005241.0,10 01 52.89,-00 52 41.0,sfri
M0009,J104958.85+001920.3,10 49 58.85,+00 19 20.3,sfri
M0017,J122032.81+000417.4,12 20 32.81,+00 04 17.4,sfri
M0031,J143919.00+003819.0,14 39 19.00,+00 38 19.0,sfri
M0032,J143848.39+004056.6,14 38 48.39,+00 40 56.6,sfri
M0034,J144724.04-002411.0,14 47 24.04,-00 24 11.0,sfri
