idx,radioname,ra,dec,Label
L0013,J000612.69-102820.4,00 06 12.69,-10 28 20.4,sfrii
L0046,J002523.04-020216.8,00 25 23.04,-02 02 16.8,sfrii
L0047,J002528.08+030555.2,00 25 28.08,+03 05 55.2,sfrii
L0092,J004415.22-080914.2,00 44 15.22,-08 09 14.2,sfrii
L0093,J004440.49-074523.6,00 44 40.49,-07 45 23.6,sfrii
L0099,J004951.76+031502.4,00 49 51.76,+03 15 02.4,sfrii
L0105,J005238.46+013727.0,00 52 38.46,+01 37 27.0,sfrii
L0116,J005655.03-010008.3,00 56 55.03,-01 00 08.3,sfrii
L0124,J005935.97+122102.5,00 59 35.97,+12 21 02.5,sfrii
L0126,J010021.96+104636.7,01 00 21.96,+10 46 36.7,sfrii
L0149,J011034.67-082549.2,01 10 34.67,-08 25 49.2,sfrii
L0171,J012120.55-053332.8,01 21 20.55,-05 33 32.8,sfrii
L0174,J012232.17-061954.0,01 22 32.17,-06 19 54.0,sfrii
L0190,J013134.85+003328.8,01 31 34.85,+00 33 28.8,sfrii
L0193,J013309.14+100949.2,01 33 09.14,+10 09 49.2,sfrii
L0195,J013432.34-014057.6,01 34 32.34,-01 40 57.6,sfrii
L0211,J014145.47-092316.3,01 41 45.47,-09 23 16.3,sfrii
L0216,J014348.55-021616.8,01 43 48.55,-02 16 16.8,sfrii
L0218,J014444.93-094403.1,01 44 44.93,-09 44 03.1,sfrii
L0220,J014458.98-000448.6,01 44 58.98,-00 04 48.6,sfrii
L0222,J014556.58-082023.3,01 45 56.58,-08 20 23.3,sfrii
L0225,J014716.25-045356.9,01 47 16.25,-04 53 56.9,sfrii
L0235,J015051.55-035219.6,01 50 51.55,-03 52 19.6,sfrii
L0237,J015100.58+072113.9,01 51 00.58,+07 21 13.9,sfrii
L0245,J015305.36-082747.9,01 53 05.36,-08 27 47.9,sfrii
L0246,J015328.28-025722.1,01 53 28.28,-02 57 22.1,sfrii
L0257,J015757.03-020628.8,01 57 57.03,-02 06 28.8,sfrii
L0280,J021103.06-045338.9,02 11 03.06,-04 53 38.9,sfrii
L0281,J021120.04-025015.5,02 11 20.04,-02 50 15.5,sfrii
L0357,J025456.64-045436.5,02 54 56.64,-04 54 36.5,sfrii
L0364,J025710.75+063757.8,02 57 10.75,+06 37 57.8,sfrii
L0382,J031318.65+003628.8,03 13 18.65,+00 36 28.8,sfrii
L0423,J070054.13+583011.3,07 00 54.13,+58 30 11.3,sfrii
L0435,J070728.87+475828.4,07 07 28.87,+47 58 28.4,sfrii
L0449,J071132.33+641405.8,07 11 32.33,+64 14 05.8,sfrii
L0452,J071215.07+331747.9,07 12 15.07,+33 17 47.9,sfrii
L0485,J072325.90+373032.7,07 23 25.90,+37 30 32.7,sfrii
L0487,J072430.85+501057.9,07 24 30.85,+50 10 57.9,sfrii
L0499,J072725.97+310914.9,07 27 25.97,+31 09 14.9,sfrii
L0509,J072900.19+613424.4,07 29 00.19,+61 34 24.4,sfrii
